id,category,question,expected_type,expected_contains,notes,actual_type,actual_message,passed,fail_reason
16,faq_combined,How do I buy AND sell gold on this platform?,TEXT_ANSWER,Portfolio > Sell;GOLD24,Articles 2+1,TEXT_ANSWER,"To buy gold, go to Buy on the home screen, choose GOLD24 or GOLD22, enter an amount or grams, and pay via UPI, card, or net banking. Your holdings update once payment is confirmed.

To sell your gold, open the app, go to Portfolio > Sell, choose the product and quantity, and confirm at the live market rate. Funds are credited to your linked bank account after settlement.",True,
17,faq_combined,"What fees do you charge, and what's the minimum investment amount?",TEXT_ANSWER,0.5%-1%;100,Articles 7+11,TEXT_ANSWER,"We charge a small spread on buy/sell orders (typically 0.5%-1%) plus applicable payment processing fees; there are no separate account maintenance fees.

You can start investing with as little as the equivalent of 100 in your local currency; there is no maximum limit beyond standard KYC-based transaction thresholds.",True,
18,faq_combined,"How is my gold stored, and is my investment insured?",TEXT_ANSWER,vault;insur,Articles 9+17,TEXT_ANSWER,"Gold purchased through the platform is held in insured, audited vaults on your behalf; you own the underlying metal and can request delivery or sell at any time.

Gold held in our vaults is covered by comprehensive insurance against theft and physical loss; this does not cover market price fluctuations.",True,
19,faq_combined,"What KYC documents do I need, and why do transactions fail?",TEXT_ANSWER,proof of address;declined,Articles 4+5,TEXT_ANSWER,"We require a government photo ID (passport, driver's license, or national ID) and a proof of address dated within the last 3 months to complete KYC verification.

Transactions commonly fail due to insufficient funds, a declined card, bank server timeouts, or KYC verification not yet being complete. Check the failure reason shown on the transaction for specifics.",True,
20,faq_combined,"Can I take physical delivery, and how do I sell my gold?",TEXT_ANSWER,delivery fee;Portfolio > Sell,Articles 14+1,TEXT_ANSWER,"Yes, eligible holdings above the minimum delivery threshold can be redeemed as physical gold coins or bars, shipped securely to your verified address for a delivery fee.

Open the app, go to Portfolio > Sell, choose the product and quantity, and confirm at the live market rate. Funds are credited to your linked bank account after settlement.",True,
21,faq_combined,"How do I reset my password, and how do I contact human support?",TEXT_ANSWER,Forgot password;Talk to an agent,Articles 16+18,ESCALATE,I'd be happy to connect you with a human support agent who can help further.,False,"expected type TEXT_ANSWER, got ESCALATE"
22,faq_combined,"What's the difference between 24K and 22K gold, and how long do payouts take?",TEXT_ANSWER,99.9%;1-2 business days,Articles 8+6,TEXT_ANSWER,"24K (GOLD24) is 99.9% pure gold, while 22K (GOLD22) is about 91.6% pure and alloyed with other metals for durability. Purity affects price per gram.

Payouts to your linked bank account are typically processed within 1-2 business days after a sell order settles.",True,
23,faq_combined,"How does recurring savings work, and how do I cancel it?",TEXT_ANSWER,weekly;Cancel,Articles 3+10,TEXT_ANSWER,"A recurring (systematic) savings plan automatically buys a fixed amount of gold on a schedule you choose (weekly or monthly) from your saved payment method, helping you average your purchase price over time.

Go to Recurring Plans in your account settings, select the active plan, and choose Cancel. Any already-purchased gold remains in your portfolio.",True,
24,faq_combined,"Is my investment insured, and what happens if markets are closed?",TEXT_ANSWER,insur;queued,Articles 17+15,TEXT_ANSWER,"Gold held in our vaults is covered by comprehensive insurance against theft and physical loss; this does not cover market price fluctuations.

Orders placed outside trading hours are queued and executed at the next available live market rate once trading resumes.",True,
25,faq_combined,"Do you have a referral program, and how do I update my bank account?",TEXT_ANSWER,referral code;Bank Accounts,Articles 12+13,TEXT_ANSWER,"Yes - share your referral code from the Rewards tab; both you and your friend receive bonus gold credit once they complete their first purchase.

Go to Settings > Payment Methods > Bank Accounts, add the new account, and verify it with a small test deposit before setting it as your default payout account.",True,
26,transaction,Can you show me my recent transactions?,TRANSACTION_SELECTION,txn_1007,list of all 7,TRANSACTION_SELECTION,Here are your recent transactions:,True,
27,transaction,Why did my last transaction fail?,TRANSACTION_EXPLANATION,Insufficient funds,txn_1007,TRANSACTION_EXPLANATION,"Your last transaction failed due to ""Insufficient funds in linked account."" If you need further assistance, feel free to ask!",True,
28,transaction,What happened to my first transaction?,TRANSACTION_EXPLANATION,declined,txn_1001,TRANSACTION_EXPLANATION,"Your first transaction (Transaction ID: txn_1001) failed. The status is ""FAILED"" because the payment gateway declined your credit card. It was created on August 23, 2026.",True,
29,transaction,Is there a pending transaction on my account?,TRANSACTION_EXPLANATION,PENDING,txn_1005,TRANSACTION_EXPLANATION,"Yes, you have a pending transaction on your account. It is a buy transaction for GOLD22 with an amount of $3200.00. The payment method used was Net Banking, and it was created on August 27, 2026.",True,
30,transaction,How many of my transactions were successful?,TRANSACTION_SUMMARY,3,3 SUCCESS txns,TRANSACTION_SUMMARY,"You have had a total of 3 successful transactions. Here are the details:

1. **Transaction ID:** txn_1004
   - **Type:** RECURRING_BUY
   - **Product:** GOLD24
   - **Amount:** 1000.0
   - **Payment Method:** UPI
   - **Status:** SUCCESS

2. **Transaction ID:** txn_1003
   - **Type:** SELL
   - **Product:** GOLD22
   - **Amount:** 1800.0
   - **Payment Method:** Net Banking
   - **Status:** SUCCESS

3. **Transaction ID:** txn_1002
   - **Type:** BUY
   - **Product:** GOLD24
   - **Amount:** 2500.0
   - **Payment Method:** UPI
   - **Status:** SUCCESS

All of these transactions were completed successfully.",True,
31,transaction,How many of my transactions failed?,TRANSACTION_SUMMARY,2,2 FAILED txns,TRANSACTION_SUMMARY,"You have a total of 2 failed transactions. 

Here are the details:

1. **Transaction ID:** txn_1007
   - **Type:** RECURRING_BUY
   - **Product:** GOLD22
   - **Amount:** 1000.0
   - **Status:** FAILED
   - **Failure Reason:** Insufficient funds in linked account
   - **Payment Method:** Net Banking

2. **Transaction ID:** txn_1001
   - **Type:** BUY
   - **Product:** GOLD24
   - **Amount:** 5000.0
   - **Status:** FAILED
   - **Failure Reason:** Payment gateway declined the card
   - **Payment Method:** Credit Card

If you have any further questions regarding your transactions, feel free to ask!",True,
32,transaction,What transaction was refunded to me?,TRANSACTION_EXPLANATION,REFUNDED,txn_1006,TRANSACTION_EXPLANATION,"The transaction that was refunded to you was a sale of 4100.0 worth of GOLD24. It was refunded due to the order being cancelled after a settlement delay. The payment method used was your Wallet. The refund was processed on August 28, 2026.",True,
33,transaction,How much did I pay for my last successful purchase?,TRANSACTION_EXPLANATION,1000,txn_1004,TRANSACTION_EXPLANATION,You paid 1000.0 for your last successful purchase.,True,
34,transaction,What payment method did I use for my failed transactions?,TRANSACTION_SUMMARY,Net Banking;Credit Card,txn_1007+txn_1001,TRANSACTION_SUMMARY,"You had two failed transactions. Here are the details of the payment methods used for each:

1. For the transaction with ID `txn_1007`, the payment method was **Net Banking**. The reason for failure was ""Insufficient funds in linked account"".

2. For the transaction with ID `txn_1001`, the payment method was **Credit Card**. The reason for failure was ""Payment gateway declined the card"".

If you have any further questions or need assistance, feel free to ask!",True,
35,transaction,Tell me about my sell transactions.,TRANSACTION_SUMMARY,REFUNDED;SUCCESS,txn_1006+txn_1003,TRANSACTION_SUMMARY,"You have two sell transactions:

1. **Transaction ID:** txn_1006
   - **Product:** GOLD24
   - **Amount:** $4100.00
   - **Status:** REFUNDED
   - **Failure Reason:** Order cancelled after settlement delay
   - **Payment Method:** Wallet
   - **Created At:** August 28, 2026

2. **Transaction ID:** txn_1003
   - **Product:** GOLD22
   - **Amount:** $1800.00
   - **Status:** SUCCESS
   - **Failure Reason:** None (successful transaction)
   - **Payment Method:** Net Banking
   - **Created At:** August 25, 2026

If you have any further questions about these transactions, feel free to ask!",True,
36,transaction,What's the total amount from my successful transactions?,TRANSACTION_SUMMARY,5300,1000+1800+2500,TRANSACTION_SUMMARY,"The total amount from your successful transactions is calculated as follows:

1. Transaction ID txn_1004: $1000.0 (RECURRING_BUY)
2. Transaction ID txn_1003: $1800.0 (SELL)
3. Transaction ID txn_1002: $2500.0 (BUY)

Total: $1000.0 + $1800.0 + $2500.0 = $5300.0

So, the total amount from your successful transactions is $5300.0.",True,
37,transaction,On what date was my most recent transaction created?,TRANSACTION_EXPLANATION,Aug,txn_1007,TRANSACTION_EXPLANATION,"Your most recent transaction was created on August 29, 2026.",True,
38,transaction,What was my very first transaction on this platform?,TRANSACTION_EXPLANATION,5000,txn_1001,TRANSACTION_EXPLANATION,"Your very first transaction on this platform was a purchase of GOLD24 for an amount of 5000.0. However, this transaction had a status of ""FAILED"" because the payment gateway declined the card. The transaction was created on August 23, 2026, and the payment method used was a Credit Card.",True,
39,transaction,How much gold have I bought successfully in GOLD24?,TRANSACTION_SUMMARY,2500,txn_1002+txn_1004,TRANSACTION_SUMMARY,"You have successfully bought a total of 3,500.0 units of gold in GOLD24. This includes:

1. **Transaction ID: txn_1004**
   - Amount: 1000.0
   - Status: SUCCESS
   - Payment Method: UPI

2. **Transaction ID: txn_1002**
   - Amount: 2500.0
   - Status: SUCCESS
   - Payment Method: UPI

The total amount from these transactions is 1,000.0 + 2,500.0 = 3,500.0 units of gold.",True,
40,transaction,What's the status of transaction txn_1005?,TRANSACTION_EXPLANATION,PENDING,txn_1005,TRANSACTION_EXPLANATION,The status of transaction txn_1005 is PENDING.,True,
41,combined,Can you check my transactions and also tell me the fees you charge?,TEXT_ANSWER_OR_TRANSACTION,0.5%-1%;txn_1007,transaction + FAQ 7,TRANSACTION_SELECTION,"Here are your recent transactions:

We charge a small spread on buy/sell orders (typically 0.5%-1%) plus applicable payment processing fees; there are no separate account maintenance fees.",True,
42,combined,Can you please check my transaction and assist me to buy the gold?,TEXT_ANSWER_OR_TRANSACTION,txn_1007;GOLD24,transaction + FAQ 2,TRANSACTION_SELECTION,"Which transaction are you referring to?

To buy gold, go to Buy on the home screen, choose GOLD24 or GOLD22, enter an amount or grams, and pay via UPI, card, or net banking. Your holdings update once payment is confirmed.",True,
43,combined,"Why did my last transaction fail, and what KYC documents do I need to avoid that next time?",TEXT_ANSWER_OR_TRANSACTION,Insufficient funds;proof of address,transaction + FAQ 4,TRANSACTION_EXPLANATION,"Your last transaction, which was a recurring buy of 1000.0 worth of GOLD22, failed due to ""Insufficient funds in linked account."" To avoid this issue next time, ensure that there are sufficient funds in your linked account before initiating a transaction.

Regarding KYC documents, typically, you may need to provide identification documents such as a government-issued ID (like a passport or driver's license), proof of address (like a utility bill or bank statement), and possibly additional documents depending on your local regulations. It’s best to check with our platform for the specific KYC requirements based on your account type.

Transactions commonly fail due to insufficient funds, a declined card, bank server timeouts, or KYC verification not yet being complete. Check the failure reason shown on the transaction for specifics.

We require a government photo ID (passport, driver's license, or national ID) and a proof of address dated within the last 3 months to complete KYC verification.",True,
44,combined,Show me my recent transactions and explain how the recurring savings plan works.,TEXT_ANSWER_OR_TRANSACTION,txn_1007;weekly,transaction + FAQ 3,TRANSACTION_SELECTION,"Here are your recent transactions:

A recurring (systematic) savings plan automatically buys a fixed amount of gold on a schedule you choose (weekly or monthly) from your saved payment method, helping you average your purchase price over time.",True,
45,combined,"I want to sell gold - can you tell me how, and also check if my last sell went through?",TEXT_ANSWER_OR_TRANSACTION,Portfolio > Sell;REFUNDED,FAQ 1 + transaction,TRANSACTION_EXPLANATION,"Your last sell transaction for 4100.0 of GOLD24 did not go through; it has the status ""REFUNDED"" because the order was cancelled after a settlement delay. The payment method was via Wallet.

To sell gold, you can follow these steps:
1. Log in to your account on the platform.
2. Navigate to the section for selling gold.
3. Select the amount of gold you want to sell.
4. Choose your preferred payment method.
5. Confirm the transaction, and you should receive a confirmation once it goes through.

Open the app, go to Portfolio > Sell, choose the product and quantity, and confirm at the live market rate. Funds are credited to your linked bank account after settlement.",True,
46,combined,"What's my pending transaction status, and how long do payouts usually take?",TEXT_ANSWER_OR_TRANSACTION,PENDING;1-2 business days,transaction + FAQ 6,TRANSACTION_EXPLANATION,"Your pending transaction status is ""PENDING"" for the amount of 3200.0. 

Regarding payouts, they typically take a few business days to process, but the exact duration can vary based on the payment method used. Since you used ""Net Banking,"" it usually takes around 2-3 business days.

Payouts to your linked bank account are typically processed within 1-2 business days after a sell order settles.",True,
47,combined,Can you tell me about the referral program and show me my transaction history?,TEXT_ANSWER_OR_TRANSACTION,referral code;txn_1007,FAQ 12 + transaction,TRANSACTION_SELECTION,"Here are your recent transactions:

Yes - share your referral code from the Rewards tab; both you and your friend receive bonus gold credit once they complete their first purchase.",True,
48,combined,"My last transaction failed - why, and what fees will I pay next time?",TEXT_ANSWER_OR_TRANSACTION,Insufficient funds;0.5%-1%,transaction + FAQ 7,TRANSACTION_EXPLANATION,"Your last transaction (ID: txn_1007) failed because of ""Insufficient funds in linked account."" It was a recurring buy for the product GOLD22 with an amount of $1000, using Net Banking as your payment method.

Regarding fees for your next transaction, the specific fee structure isn't detailed in the provided transaction record. However, you should check our platform's fee policy or consider potential fees associated with your payment method (Net Banking) for your next transaction.

Transactions commonly fail due to insufficient funds, a declined card, bank server timeouts, or KYC verification not yet being complete. Check the failure reason shown on the transaction for specifics.

We charge a small spread on buy/sell orders (typically 0.5%-1%) plus applicable payment processing fees; there are no separate account maintenance fees.",True,
49,combined,"Is my gold insured, and did my last purchase succeed?",TEXT_ANSWER_OR_TRANSACTION,insur;PENDING,FAQ 17 + transaction,TRANSACTION_EXPLANATION,"Your last purchase of 3200.0 worth of GOLD22 is currently in ""PENDING"" status, which means it has not yet succeeded. As for insurance, the JSON transaction record does not provide information about whether your gold is insured.

Gold held in our vaults is covered by comprehensive insurance against theft and physical loss; this does not cover market price fluctuations.",True,
50,combined,"Can I get physical delivery, and what's the status of my most recent order?",TEXT_ANSWER_OR_TRANSACTION,delivery fee;FAILED,FAQ 14 + transaction,TEXT_ANSWER,"Yes, eligible holdings above the minimum delivery threshold can be redeemed as physical gold coins or bars, shipped securely to your verified address for a delivery fee.

Yes, you can get physical delivery of your order. 

As for the status of your most recent order (Aura Gold Coin), it is currently marked as ""ATTEMPTED."" The latest event shows that delivery was attempted on August 27, 2026, at 3:50 PM UTC in Pune, but the delivery could not be completed because the customer was unavailable. Prior to that, the order was in transit and arrived at a local facility in Pune on the same day at 7:30 AM UTC.",False,missing: FAILED
51,out_of_scope,How much gold do I currently own in total?,TEXT_ANSWER_GROUNDED,alice,"capability gap - portfolio value, not tracked",TEXT_ANSWER,"I'm sorry, Alice, but I don't have access to that information. However, I can help you with your recent transactions or any general questions about buying and selling gold. Is there something specific you would like assistance with?",True,
52,out_of_scope,What's my current account balance?,TEXT_ANSWER_GROUNDED,alice,"capability gap - account balance, not tracked",TEXT_ANSWER,"I can't provide your current account balance, Alice. However, I can help you with recent transactions or any general questions about the platform. Let me know how I can assist you!",True,
53,out_of_scope,What's the live gold price per gram right now?,TEXT_ANSWER_GROUNDED,alice,"capability gap - real-time price, not tracked",TEXT_ANSWER,"I'm sorry, Alice Nguyen, but I can only assist you with questions related to buying or selling gold on our platform and your account support. If you have any queries regarding those topics, feel free to ask!",True,
54,out_of_scope,Hi,TEXT_ANSWER_GROUNDED,alice,pure greeting,TEXT_ANSWER,"Hello, Alice Nguyen! How can I assist you today with buying or selling gold?",True,
55,out_of_scope,Good morning!,TEXT_ANSWER_GROUNDED,alice,pure greeting,TEXT_ANSWER,"Good morning, Alice Nguyen! If you have any questions about buying or selling gold, feel free to ask!",True,
56,out_of_scope,Thank you so much for your help!,TEXT_ANSWER_GROUNDED,alice,pure small talk,TEXT_ANSWER,"You're welcome, Alice Nguyen! If you have any questions about buying or selling gold, feel free to ask!",True,
57,out_of_scope,How are you doing today?,TEXT_ANSWER_GROUNDED,alice,pure small talk,TEXT_ANSWER,"I'm here to assist you, Alice Nguyen! If you have any questions about buying or selling gold, feel free to ask.",True,
58,out_of_scope,What's the weather like today?,TEXT_ANSWER_GROUNDED,alice,unrelated to platform,TEXT_ANSWER,"I'm here to help with questions about buying and selling gold, Alice. If you have any support questions regarding that, feel free to ask!",True,
59,out_of_scope,Can you recommend a good stock to invest in?,TEXT_ANSWER_GROUNDED,alice,unrelated to platform,TEXT_ANSWER,"I'm sorry, Alice, but I can only help you with buying and selling gold or supporting your account here. If you have any questions related to that, feel free to ask!",True,
60,out_of_scope,What's the capital of France?,TEXT_ANSWER_GROUNDED,alice,unrelated to platform,TEXT_ANSWER,"I'm here to help you with buying or selling gold, Alice. If you have any questions about our platform or transactions, feel free to ask!",True,
61,redemption,Where is my order?,REDEMPTION_SELECTION,track,ambiguous - 4 ongoing redemption orders match,REDEMPTION_SELECTION,Which order would you like to track?,True,
62,redemption,Track my gold coin,REDEMPTION_SELECTION,track,ambiguous - 2 ongoing coin orders match (IN_TRANSIT and ATTEMPTED),REDEMPTION_SELECTION,Which order would you like to track?,True,
63,redemption,Has my gold bar shipped yet?,REDEMPTION_SELECTION,track,ambiguous - 2 ongoing bar orders match (OUT_FOR_DELIVERY and PROCESSING),REDEMPTION_SELECTION,Which order would you like to track?,True,
64,redemption,Track my Aura Gold Bar that's currently out for delivery,REDEMPTION_TRACKING,out_for_delivery,single match via status mentioned in the question itself,REDEMPTION_TRACKING,"Your Aura Gold Bar is currently **OUT FOR DELIVERY**. The most recent status was updated on **August 29, 2026, at 09:05 AM UTC**, indicating that it is in **New Delhi**. 

Recent history shows that it arrived at the local facility earlier the same day at **06:40 AM UTC** before being marked as out for delivery.",True,
65,redemption,Track my gold coin that was already attempted for delivery,REDEMPTION_TRACKING,attempted,single match via status mentioned in the question itself,REDEMPTION_TRACKING,"Your gold coin, the Aura Gold Coin, has an attempted delivery status. The most recent delivery attempt was on August 27, 2026, at 15:50 UTC, but it was unsuccessful because the customer was unavailable. The current location of your order is Pune. 

Previously, the coin arrived at the local facility in Pune on the same day at 07:30 UTC before the attempted delivery.",True,
66,redemption,Is my Aura Gold Bar still being processed?,REDEMPTION_TRACKING,processing,single match - only one bar has no AWB yet (still processing),REDEMPTION_TRACKING,Your order is still being processed and doesn't have tracking information yet.,True,
67,redemption,What is the tracking status for my in-transit gold coin?,REDEMPTION_TRACKING,in_transit,single match via status; also tests the tool never asks the customer to type an AWB themselves,REDEMPTION_TRACKING,"Your Aura Gold Coin is currently **IN TRANSIT**. The most recent location is **Bengaluru - South**, where it arrived at the hub on **August 29, 2026, at 08:07 UTC**. 

Recently, it was dispatched from **Chennai** on **August 28, 2026, at 10:15 UTC** before arriving in Bengaluru.",True,
68,out_of_scope,Can I cancel my redemption order?,TEXT_ANSWER_GROUNDED,alice,no cancel capability exists - tests correct decline vs wrongly invoking the tracking tool,TEXT_ANSWER,"I don't have enough information in our knowledge base to answer that. Could you rephrase, or ask about something else?",False,"expected grounded=True (respond_directly), got grounded=False (KB path was used instead)"
69,out_of_scope,Can I get a refund for my delivered gold order?,TEXT_ANSWER_GROUNDED,alice,no refund capability via chat; also the referenced order is DELIVERED (excluded from ongoing),TEXT_ANSWER,"I don't have enough information in our knowledge base to answer that. Could you rephrase, or ask about something else?",False,"expected grounded=True (respond_directly), got grounded=False (KB path was used instead)"
70,out_of_scope,Can you track my Amazon package from last week?,TEXT_ANSWER_GROUNDED,alice,"unrelated to the platform, despite superficially sounding like a tracking request",TEXT_ANSWER,"I'm sorry, Alice, but I can only help with buying and selling gold or support related to your account here. If you have any questions about those topics, feel free to ask!",True,
